,discussion cubicles,windowed seats,diagonal seats,cubicle seats,4-man tables,8-man tables,soft seats,sofa,moveable seats
1.0,0.07727272727272727,0.08928571428571429,0.09545454545454546,0.052132701421800945,0.1485148514851485,0.195,0.10377358490566038,0.16748768472906403,0.20398009950248755
2.0,0.14545454545454545,0.14285714285714285,0.1409090909090909,0.07582938388625593,0.1485148514851485,0.23,0.1509433962264151,0.16748768472906403,0.21890547263681592
3.0,0.32272727272727275,0.33035714285714285,0.33636363636363636,0.22748815165876776,0.33663366336633666,0.31,0.2830188679245283,0.3103448275862069,0.3383084577114428
4.0,0.25,0.28125,0.3,0.3981042654028436,0.2524752475247525,0.185,0.32547169811320753,0.2512315270935961,0.16417910447761194
5.0,0.20454545454545456,0.15625,0.12727272727272726,0.24644549763033174,0.11386138613861387,0.08,0.13679245283018868,0.10344827586206896,0.07462686567164178
